gpu,dtype,tokens,head_dim,normalize,backend,median_us,min_us,max_us,repeats,all_pass
NVIDIA H200,bfloat16,131072,64,0,hopper/mma_fast,9.796400368213654,9.77180004119873,9.809800237417221,5,False
NVIDIA H200,bfloat16,131072,64,0,hopper/mma_split,11.075399816036224,11.028199642896652,11.11299991607666,5,False
NVIDIA H200,bfloat16,131072,64,0,hopper/warp,13.45759928226471,13.441599905490875,13.482600450515747,5,True
NVIDIA H200,bfloat16,131072,64,0,hopper/wmma_fast,18.291400372982025,18.282799422740936,18.30800026655197,5,False
NVIDIA H200,bfloat16,131072,64,0,hopper/wmma_split,21.145400404930115,21.135200560092926,21.171200275421143,5,False
NVIDIA H200,bfloat16,131072,64,1,dao,80.45160174369812,80.43860197067261,80.47000169754028,5,True
NVIDIA H200,bfloat16,131072,64,1,dao_plus_quant,160.54320335388184,160.53459644317627,160.55140495300293,5,True
NVIDIA H200,bfloat16,131072,64,1,hopper/mma_fast,9.847400337457657,9.822999686002731,9.859800338745117,5,True
NVIDIA H200,bfloat16,131072,64,1,hopper/mma_split,11.077199876308441,11.04540005326271,11.093000322580338,5,True
NVIDIA H200,bfloat16,131072,64,1,hopper/warp,13.753600418567657,13.706399500370026,13.76579999923706,5,True
NVIDIA H200,bfloat16,131072,64,1,hopper/wmma_fast,18.37580054998398,18.35539937019348,18.394799530506134,5,True
NVIDIA H200,bfloat16,131072,64,1,hopper/wmma_split,21.16840034723282,21.13559991121292,21.18780016899109,5,True
NVIDIA H200,bfloat16,16384,128,0,dao,11.389599740505219,11.385200172662735,11.423800140619278,5,True
NVIDIA H200,bfloat16,16384,128,0,dao_plus_quant,22.434799373149872,22.426599264144897,22.438199818134308,5,True
NVIDIA H200,bfloat16,16384,128,0,hopper/mma_fast,3.640199825167656,3.6184001713991165,3.7202000617980957,5,False
NVIDIA H200,bfloat16,16384,128,0,hopper/mma_split,3.826199844479561,3.7918001413345337,3.8571998476982117,5,False
NVIDIA H200,bfloat16,16384,128,0,hopper/warp,3.988400101661682,3.982599824666977,4.04600016772747,5,True
NVIDIA H200,bfloat16,16384,128,0,hopper/wmma_fast,5.75300008058548,5.748200044035912,5.8253999799489975,5,False
NVIDIA H200,bfloat16,16384,128,0,hopper/wmma_split,6.5247997641563416,6.52180016040802,6.528600305318832,5,False
NVIDIA H200,bfloat16,16384,128,1,dao,11.377999931573868,11.358600109815598,11.383800208568573,5,True
NVIDIA H200,bfloat16,16384,128,1,dao_plus_quant,22.444799542427063,22.417399287223816,22.45499938726425,5,True
NVIDIA H200,bfloat16,16384,128,1,hopper/mma_fast,3.6371998488903046,3.5985998809337616,3.6559998989105225,5,True
NVIDIA H200,bfloat16,16384,128,1,hopper/mma_split,3.8477998226881027,3.8265999406576157,3.8575999438762665,5,True
NVIDIA H200,bfloat16,16384,128,1,hopper/warp,4.002600163221359,3.945399820804596,4.017199948430061,5,True
NVIDIA H200,bfloat16,16384,128,1,hopper/wmma_fast,5.772000178694725,5.771199986338615,5.817800015211105,5,True
NVIDIA H200,bfloat16,16384,128,1,hopper/wmma_split,6.564400345087051,6.553199887275696,6.568600237369537,5,True
NVIDIA H200,bfloat16,16384,256,0,dao,11.545400321483612,11.49900034070015,11.586400121450424,5,True
NVIDIA H200,bfloat16,16384,256,0,dao_plus_quant,22.90640026330948,22.887399792671204,22.924399375915527,5,True
NVIDIA H200,bfloat16,16384,256,0,hopper/mma_fast,5.235400050878525,5.202199891209602,5.247600004076958,5,False
NVIDIA H200,bfloat16,16384,256,0,hopper/mma_split,5.7151999324560165,5.6912001222372055,5.734999850392342,5,False
NVIDIA H200,bfloat16,16384,256,0,hopper/warp,4.980599880218506,4.957399889826775,4.990600049495697,5,True
NVIDIA H200,bfloat16,16384,256,0,hopper/wmma_fast,9.880799800157547,9.861800074577332,9.888599812984467,5,False
NVIDIA H200,bfloat16,16384,256,0,hopper/wmma_split,11.361599713563919,11.344199627637863,11.373399943113327,5,False
NVIDIA H200,bfloat16,16384,256,1,dao,11.517000198364258,11.501199752092361,11.538200080394745,5,True
NVIDIA H200,bfloat16,16384,256,1,dao_plus_quant,22.913600504398346,22.902800142765045,22.9325994849205,5,True
NVIDIA H200,bfloat16,16384,256,1,hopper/mma_fast,5.260400101542473,5.2163999527692795,5.270000174641609,5,True
NVIDIA H200,bfloat16,16384,256,1,hopper/mma_split,5.762799829244614,5.737200006842613,5.7989999651908875,5,True
NVIDIA H200,bfloat16,16384,256,1,hopper/warp,5.2411999553442,5.226600170135498,5.245399847626686,5,True
NVIDIA H200,bfloat16,16384,256,1,hopper/wmma_fast,9.769800305366516,9.749399870634079,9.825199842453003,5,True
NVIDIA H200,bfloat16,16384,256,1,hopper/wmma_split,11.315000057220459,11.281400173902512,11.350400000810623,5,True
NVIDIA H200,bfloat16,16384,64,0,dao,11.322999745607376,11.321999877691269,11.333800107240677,5,True
NVIDIA H200,bfloat16,16384,64,0,dao_plus_quant,22.342999279499054,22.341200709342957,22.34320044517517,5,True
NVIDIA H200,bfloat16,16384,64,0,hopper/mma_fast,2.6936000213027,2.645600028336048,2.6985999196767807,5,False
NVIDIA H200,bfloat16,16384,64,0,hopper/mma_split,2.9479999095201492,2.87299994379282,2.9575999826192856,5,False
NVIDIA H200,bfloat16,16384,64,0,hopper/warp,2.800000086426735,2.7950000017881393,2.8157999739050865,5,True
NVIDIA H200,bfloat16,16384,64,0,hopper/wmma_fast,3.7202000617980957,3.700599819421768,3.720799833536148,5,False
NVIDIA H200,bfloat16,16384,64,0,hopper/wmma_split,4.069599881768227,4.066399857401848,4.069999977946281,5,False
NVIDIA H200,bfloat16,16384,64,1,dao,11.296399682760239,11.293400079011917,11.30559965968132,5,True
NVIDIA H200,bfloat16,16384,64,1,dao_plus_quant,22.345000505447388,22.342200577259064,22.346800565719604,5,True
NVIDIA H200,bfloat16,16384,64,1,hopper/mma_fast,2.6985999196767807,2.645000070333481,2.705799974501133,5,True
NVIDIA H200,bfloat16,16384,64,1,hopper/mma_split,2.9335999861359596,2.901200018823147,2.95219998806715,5,True
NVIDIA H200,bfloat16,16384,64,1,hopper/warp,2.81360000371933,2.8101999312639236,2.8901999816298485,5,True
NVIDIA H200,bfloat16,16384,64,1,hopper/wmma_fast,3.7115998566150665,3.694399818778038,3.7122000008821487,5,True
NVIDIA H200,bfloat16,16384,64,1,hopper/wmma_split,4.104200005531311,4.103599861264229,4.109200090169907,5,True
NVIDIA H200,float16,1,128,0,dao,1.5595999546349049,1.5444000251591206,1.5615999698638916,5,True
NVIDIA H200,float16,1,128,0,dao_plus_quant,2.924400009214878,2.8877999633550644,15.454399585723877,5,True
NVIDIA H200,float16,1,128,0,hopper/mma_fast,1.433200016617775,1.4294000342488289,1.4341999776661396,5,True
NVIDIA H200,float16,1,128,0,hopper/mma_split,1.4113999903202057,1.4085999689996243,1.4142000116407871,5,True
NVIDIA H200,float16,1,128,0,hopper/warp,1.437199953943491,1.435799989849329,1.4411999844014645,5,True
NVIDIA H200,float16,1,128,0,hopper/wmma_fast,1.4097999781370163,1.39340003952384,1.4125999994575977,5,True
NVIDIA H200,float16,1,128,0,hopper/wmma_split,1.4050000347197056,1.4026000164449215,1.4065999537706375,5,True
NVIDIA H200,float16,1,128,1,dao,1.5544000081717968,1.5519999898970127,1.554999966174364,5,True
NVIDIA H200,float16,1,128,1,dao_plus_quant,2.928999997675419,2.9278000816702843,2.9311999678611755,5,True
NVIDIA H200,float16,1,128,1,hopper/mma_fast,1.4433999545872211,1.4403999783098698,1.4436000026762486,5,True
NVIDIA H200,float16,1,128,1,hopper/mma_split,1.4166000299155712,1.3996000401675701,1.418600045144558,5,True
