gpu,variant,dtype,head_dim,implementation,repeats,median_us,min_us,max_us
NVIDIA H200,w4_tc4_v1,fp16,256,tc_fast,3,65.9846,65.9584,66.0941
NVIDIA H200,w4_tc4_v1,fp16,256,tc_split,3,73.65570000000001,73.5715,73.7357
NVIDIA H200,w4_tc4_v1,fp16,256,unfused_int4,3,120.959,120.886,120.989
NVIDIA H200,w4_tc4_v1,fp16,256,warp,3,39.6384,39.6198,39.655
NVIDIA H200,w8_tc8_v0,bf16,64,baseline,3,84.22109999999999,84.2003,84.4358
NVIDIA H200,w8_tc8_v0,bf16,64,fused_opt_int4,3,84.1789,84.1613,84.2634
NVIDIA H200,w8_tc8_v0,bf16,64,fused_tc_fast_int4,3,27.1558,27.056,27.1898
NVIDIA H200,w8_tc8_v0,bf16,64,fused_tc_split_int4,3,32.9373,32.919700000000006,32.9978
NVIDIA H200,w8_tc8_v0,bf16,64,fused_warp_int4,3,22.768,22.7254,22.886400000000002
NVIDIA H200,w8_tc8_v0,bf16,64,optimized,3,24.92,24.9162,24.9318
NVIDIA H200,w8_tc8_v0,bf16,64,tc_fast,3,26.8029,26.7949,26.872
NVIDIA H200,w8_tc8_v0,bf16,64,tc_split,3,32.5574,32.480000000000004,32.5843
NVIDIA H200,w8_tc8_v0,bf16,64,unfused_int4,3,98.6067,98.59360000000001,98.8595
NVIDIA H200,w8_tc8_v0,bf16,64,warp,3,16.1574,16.1021,16.1898
NVIDIA H200,w8_tc8_v0,bf16,128,baseline,3,100.11,100.06400000000001,100.119
NVIDIA H200,w8_tc8_v0,bf16,128,fused_opt_int4,3,84.7498,84.6685,84.8154
NVIDIA H200,w8_tc8_v0,bf16,128,fused_tc_fast_int4,3,48.5098,48.457300000000004,48.568
NVIDIA H200,w8_tc8_v0,bf16,128,fused_tc_split_int4,3,59.905300000000004,59.8352,60.055699999999995
NVIDIA H200,w8_tc8_v0,bf16,128,fused_warp_int4,3,31.6,31.5498,31.711700000000004
NVIDIA H200,w8_tc8_v0,bf16,128,optimized,3,45.1635,45.128,45.2589
NVIDIA H200,w8_tc8_v0,bf16,128,tc_fast,3,48.1878,48.1008,48.2198
NVIDIA H200,w8_tc8_v0,bf16,128,tc_split,3,59.4358,59.3379,59.5411
NVIDIA H200,w8_tc8_v0,bf16,128,unfused_int4,3,106.673,106.655,106.839
NVIDIA H200,w8_tc8_v0,bf16,128,warp,3,25.4848,25.3046,25.511699999999998
NVIDIA H200,w8_tc8_v0,bf16,256,baseline,3,197.83100000000002,197.719,197.878
NVIDIA H200,w8_tc8_v0,bf16,256,fused_opt_int4,3,98.85979999999999,98.8461,98.8787
NVIDIA H200,w8_tc8_v0,bf16,256,fused_tc_fast_int4,3,91.6819,91.6752,91.75460000000001
NVIDIA H200,w8_tc8_v0,bf16,256,fused_tc_split_int4,3,114.157,114.118,114.248
NVIDIA H200,w8_tc8_v0,bf16,256,fused_warp_int4,3,52.129000000000005,52.111,52.1731
NVIDIA H200,w8_tc8_v0,bf16,256,optimized,3,85.1184,85.0307,85.1562
NVIDIA H200,w8_tc8_v0,bf16,256,tc_fast,3,90.38499999999999,90.3328,90.50750000000001
NVIDIA H200,w8_tc8_v0,bf16,256,tc_split,3,112.69999999999999,112.634,112.713
NVIDIA H200,w8_tc8_v0,bf16,256,unfused_int4,3,122.672,122.527,122.74
NVIDIA H200,w8_tc8_v0,bf16,256,warp,3,41.1952,41.1603,41.1971
NVIDIA H200,w8_tc8_v0,fp16,64,baseline,3,84.2714,84.18939999999999,84.30659999999999
NVIDIA H200,w8_tc8_v0,fp16,64,fused_opt_int4,3,84.177,84.1562,84.24669999999999
NVIDIA H200,w8_tc8_v0,fp16,64,fused_tc_fast_int4,3,25.962200000000003,25.9613,25.9677
NVIDIA H200,w8_tc8_v0,fp16,64,fused_tc_split_int4,3,31.1146,31.1139,31.1696
