gpu,dtype,tokens,head_dim,normalize,backend,round,us,max_abs,pass,nodes,replays,measurement
NVIDIA H200,bfloat16,16384,512,1,f4_q1/fused_warp,6,11.888600140810013,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f8_q1/fused_warp,6,12.154199928045273,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,dao,6,11.916600167751312,0.0,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,dao_plus_quant,7,26.843398809432983,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,dao,7,11.915399879217148,0.0,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f8_q1/fused_warp,7,12.146399915218353,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f4_q1/fused_warp,7,11.830999702215195,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f4_q0/fused_warp,7,11.599399894475937,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f4_q1/fused_warp,8,11.838799715042114,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f8_q1/fused_warp,8,12.139599770307541,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,dao,8,11.936599761247635,0.0,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,dao_plus_quant,8,26.889199018478394,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,16384,512,1,f4_q0/fused_warp,8,11.565999686717987,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,131072,512,1,dao,0,81.50879740715027,0.0,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,131072,512,1,dao_plus_quant,0,216.29259586334229,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,131072,512,1,f4_q0/fused_warp,0,81.39700293540955,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,131072,512,1,f4_q1/fused_warp,0,83.7153971195221,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,131072,512,1,f8_q1/fused_warp,0,83.48479866981506,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,131072,512,1,dao,1,81.52139782905579,0.0,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,131072,512,1,f8_q1/fused_warp,1,83.7336003780365,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,131072,512,1,f4_q1/fused_warp,1,83.883798122406,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,131072,512,1,f4_q0/fused_warp,1,81.39500021934509,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,131072,512,1,dao_plus_quant,1,216.98079109191895,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,131072,512,1,f4_q0/fused_warp,2,81.97720050811768,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,131072,512,1,f4_q1/fused_warp,2,84.29219722747803,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,131072,512,1,f8_q1/fused_warp,2,84.11340117454529,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,131072,512,1,dao,2,81.6133975982666,0.0,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,131072,512,1,dao_plus_quant,2,217.14880466461182,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,131072,512,1,f4_q0/fused_warp,3,81.98999762535095,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,131072,512,1,dao_plus_quant,3,217.13500022888184,,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,131072,512,1,dao,3,81.6428005695343,0.0,True,16,10,graph_amortized_device
NVIDIA H200,bfloat16,131072,512,1,f8_q1/fused_warp,3,84.23539996147156,,True,16,10,graph_amortized_device
