gpu,variant,dtype,head_dim,implementation,repeats,median_us,min_us,max_us
NVIDIA H200,w4_tc4_v1,bf16,512,fused_warp_int4,3,85.2509,85.1763,85.2957
NVIDIA H200,w4_tc4_v1,bf16,512,optimized,3,163.017,163.00400000000002,163.032
NVIDIA H200,w4_tc4_v1,bf16,512,tc_fast,3,123.601,123.52000000000001,123.654
NVIDIA H200,w4_tc4_v1,bf16,512,tc_split,3,142.20499999999998,141.905,142.27
NVIDIA H200,w4_tc4_v1,bf16,512,unfused_int4,3,212.5,212.369,212.68300000000002
NVIDIA H200,w4_tc4_v1,bf16,512,warp,3,72.9379,72.8346,72.99329999999999
NVIDIA H200,w4_tc4_v1,bf16,1024,baseline,3,916.208,916.115,916.581
NVIDIA H200,w4_tc4_v1,bf16,1024,fused_opt_int4,3,468.75600000000003,468.598,468.884
NVIDIA H200,w4_tc4_v1,bf16,1024,fused_warp_int4,3,174.666,174.404,174.667
NVIDIA H200,w4_tc4_v1,bf16,1024,optimized,3,365.114,365.037,365.15999999999997
NVIDIA H200,w4_tc4_v1,bf16,1024,tc_fast,3,229.156,229.132,229.252
NVIDIA H200,w4_tc4_v1,bf16,1024,tc_split,3,265.122,265.02799999999996,265.132
NVIDIA H200,w4_tc4_v1,bf16,1024,unfused_int4,3,469.592,469.586,469.93600000000004
NVIDIA H200,w4_tc4_v1,bf16,1024,warp,3,171.81099999999998,171.517,171.945
NVIDIA H200,w4_tc4_v1,fp16,64,baseline,3,84.3274,84.233,84.4102
NVIDIA H200,w4_tc4_v1,fp16,64,fused_opt_int4,3,84.3299,84.1597,84.353
NVIDIA H200,w4_tc4_v1,fp16,64,fused_tc_fast_int4,3,20.8653,20.834600000000002,20.918699999999998
NVIDIA H200,w4_tc4_v1,fp16,64,fused_tc_split_int4,3,22.9232,22.863999999999997,22.982699999999998
NVIDIA H200,w4_tc4_v1,fp16,64,fused_warp_int4,3,25.3034,25.1456,25.363799999999998
NVIDIA H200,w4_tc4_v1,fp16,64,optimized,3,25.061799999999998,24.9597,25.232
NVIDIA H200,w4_tc4_v1,fp16,64,tc_fast,3,20.653100000000002,20.6045,20.7418
NVIDIA H200,w4_tc4_v1,fp16,64,tc_split,3,22.5706,22.561899999999998,22.6586
NVIDIA H200,w4_tc4_v1,fp16,64,unfused_int4,3,106.532,106.392,106.835
NVIDIA H200,w4_tc4_v1,fp16,64,warp,3,24.8957,24.8742,25.028499999999998
NVIDIA H200,w4_tc4_v1,fp16,128,baseline,3,100.302,100.231,100.326
NVIDIA H200,w4_tc4_v1,fp16,128,fused_opt_int4,3,84.8986,84.8858,84.9734
NVIDIA H200,w4_tc4_v1,fp16,128,fused_tc_fast_int4,3,36.457,36.4518,36.5581
NVIDIA H200,w4_tc4_v1,fp16,128,fused_tc_split_int4,3,40.5667,40.4957,40.5955
NVIDIA H200,w4_tc4_v1,fp16,128,fused_warp_int4,3,31.2102,31.1174,31.223399999999998
NVIDIA H200,w4_tc4_v1,fp16,128,optimized,3,45.3034,45.225,45.3635
NVIDIA H200,w4_tc4_v1,fp16,128,tc_fast,3,36.2893,36.2685,36.351
NVIDIA H200,w4_tc4_v1,fp16,128,tc_split,3,40.129900000000006,40.0499,40.151399999999995
NVIDIA H200,w4_tc4_v1,fp16,128,unfused_int4,3,107.434,107.281,107.50800000000001
NVIDIA H200,w4_tc4_v1,fp16,128,warp,3,25.680999999999997,25.6128,25.774700000000003
NVIDIA H200,w4_tc4_v1,fp16,256,baseline,3,198.01,197.986,198.01
NVIDIA H200,w4_tc4_v1,fp16,256,fused_opt_int4,3,98.24380000000001,98.1238,98.4115
NVIDIA H200,w4_tc4_v1,fp16,256,fused_tc_fast_int4,3,70.19200000000001,70.1037,70.2598
NVIDIA H200,w4_tc4_v1,fp16,256,fused_tc_split_int4,3,76.6394,76.4234,76.7171
NVIDIA H200,w4_tc4_v1,fp16,256,fused_warp_int4,3,51.464999999999996,51.3187,51.6109
NVIDIA H200,w4_tc4_v1,fp16,256,optimized,3,85.2973,85.21629999999999,85.50019999999999
NVIDIA H200,w4_tc4_v1,fp16,256,tc_fast,3,66.27969999999999,66.18780000000001,66.3456
NVIDIA H200,w4_tc4_v1,fp16,256,tc_split,3,73.9069,73.8995,73.9379
NVIDIA H200,w4_tc4_v1,fp16,256,unfused_int4,3,121.323,121.049,121.422
NVIDIA H200,w4_tc4_v1,fp16,256,warp,3,39.9862,39.8282,40.023999999999994
NVIDIA H200,w4_tc4_v1,fp16,512,baseline,3,413.296,413.25800000000004,413.655
NVIDIA H200,w4_tc4_v1,fp16,512,fused_opt_int4,3,207.74300000000002,207.697,207.93200000000002
NVIDIA H200,w4_tc4_v1,fp16,512,fused_warp_int4,3,81.8339,81.792,81.9658
NVIDIA H200,w4_tc4_v1,fp16,512,optimized,3,162.232,162.183,162.301
NVIDIA H200,w4_tc4_v1,fp16,512,tc_fast,3,115.67099999999999,115.577,115.794
NVIDIA H200,w4_tc4_v1,fp16,512,tc_split,3,130.937,130.923,131.03400000000002
NVIDIA H200,w4_tc4_v1,fp16,512,unfused_int4,3,212.592,212.51600000000002,213.062
NVIDIA H200,w4_tc4_v1,fp16,512,warp,3,73.4362,73.3981,73.53569999999999
NVIDIA H200,w4_tc4_v1,fp16,1024,baseline,3,916.708,916.297,916.813
NVIDIA H200,w4_tc4_v1,fp16,1024,fused_opt_int4,3,464.603,464.569,464.952
NVIDIA H200,w4_tc4_v1,fp16,1024,fused_warp_int4,3,172.86499999999998,172.77200000000002,173.034
